Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"doubleClick(findTestObject(""Perolehan/005 Kemasukan Terimaan/001 Kemasukan Pesanan Tempatan/Perihal_Barang - EFT"", [""text"":kod_barang]))",Chrome 73.0.3683.86,Double click on the field to make it editable,2019-03-28 14:50:45,2019-03-28 14:50:45,0.120s,PASSED
for (def index : (1..4)),Chrome 73.0.3683.86,Input value for Dihantar using spinner - click until 4 times,2019-03-28 14:50:45,2019-03-28 14:50:45,0.218s,PASSED
for (def index : (1..4)),Chrome 73.0.3683.86,Input value for Diterima using spinner - click until 4 times,2019-03-28 14:50:45,2019-03-28 14:50:45,0.220s,PASSED
"click(findTestObject(""Perolehan/005 Kemasukan Terimaan/001 Kemasukan Pesanan Tempatan/button_Simpan""))",Chrome 73.0.3683.86,Click Simpan to save the record,2019-03-28 14:50:45,2019-03-28 14:50:45,0.072s,PASSED
delay(3),Chrome 73.0.3683.86,Delay,2019-03-28 14:50:45,2019-03-28 14:50:48,3.004s,PASSED
"waitForElementClickable(findTestObject(""Perolehan/005 Kemasukan Terimaan/001 Kemasukan Pesanan Tempatan/button_OK_Rekod_disimpan""), 60)",Chrome 73.0.3683.86,wait for the element to become clickable,2019-03-28 14:50:48,2019-03-28 14:50:48,0.030s,PASSED
"click(findTestObject(""Perolehan/005 Kemasukan Terimaan/001 Kemasukan Pesanan Tempatan/button_OK_Rekod_disimpan""))",Chrome 73.0.3683.86,Click OK to close the prompt box,2019-03-28 14:50:48,2019-03-28 14:50:48,0.075s,PASSED
"click(findTestObject(""Perolehan/005 Kemasukan Terimaan/001 Kemasukan Pesanan Tempatan/button_Sah_Simpan""))",Chrome 73.0.3683.86,Click on Sah Simpan button,2019-03-28 14:50:48,2019-03-28 14:50:49,0.086s,PASSED
"click(findTestObject(""Perolehan/005 Kemasukan Terimaan/001 Kemasukan Pesanan Tempatan/button_Ya_Sah_Simpan""))",Chrome 73.0.3683.86,Click Ya to confirm Sah Simpan,2019-03-28 14:50:49,2019-03-28 14:50:49,0.062s,PASSED
delay(8),Chrome 73.0.3683.86,Delay,2019-03-28 14:50:49,2019-03-28 14:50:57,8.003s,PASSED
"waitForElementClickable(findTestObject(""Perolehan/005 Kemasukan Terimaan/001 Kemasukan Pesanan Tempatan/button_OK_Rekod_disimpan""), 180)",Chrome 73.0.3683.86,wait for the element to become clickable,2019-03-28 14:50:57,2019-03-28 14:50:57,0.052s,PASSED
"waitForElementClickable(findTestObject(""Perolehan/002 Penyedia_RekodBaru/001 Rekod Baru Pesanan Tempatan/button_OK_Rekod_Berjaya_disimpan""), 300)",Chrome 73.0.3683.86,wait for the element to be clickable,2019-03-28 14:50:57,2019-03-28 14:50:57,0.022s,PASSED
"element = findWebElement(findTestObject(""Perolehan/005 Kemasukan Terimaan/001 Kemasukan Pesanan Tempatan/button_OK_Rekod_disimpan""), 300)",Chrome 73.0.3683.86,declare object to find as an element,2019-03-28 14:50:57,2019-03-28 14:50:57,0.014s,PASSED
takeScreenshot(),Chrome 73.0.3683.86,Take screenshot of the rekod ID,2019-03-28 14:50:57,2019-03-28 14:50:57,0.516s,PASSED
"executeJavaScript(""arguments[0].click"", Arrays.asList(element))",Chrome 73.0.3683.86,click on the element using javascript,2019-03-28 14:50:57,2019-03-28 14:50:57,0.010s,PASSED
delay(5),Chrome 73.0.3683.86,Delay,2019-03-28 14:50:57,2019-03-28 14:51:02,5.002s,PASSED
"click(findTestObject(""Perolehan/005 Kemasukan Terimaan/001 Kemasukan Pesanan Tempatan/button_OK_Rekod_disimpan""))",Chrome 73.0.3683.86,Click OK to close the prompt box,2019-03-28 14:51:02,2019-03-28 14:51:02,0.063s,PASSED
closeBrowser(),Chrome 73.0.3683.86,Close browser,2019-03-28 14:51:02,2019-03-28 14:51:03,0.657s,PASSED
,,,,,,
Test Cases/Perolehan/006 Arahan Bayaran/001 Arahan Bayaran - EFT,Chrome 73.0.3683.86,Create new REKOD BARU for arahan bayaran after kemasukan terimaan barang is saved,2019-03-28 14:51:03,2019-03-28 14:52:52,1m - 49.183s,PASSED
reusablefunctions.reusablefunctions.openbrowser(),Chrome 73.0.3683.86,Open browser,2019-03-28 14:51:03,2019-03-28 14:51:06,2.880s,PASSED
"reusablefunctions.reusablefunctions.Login(findTestData(""ispekstestdata"").getValue(1, 4), findTestData(""ispekstestdata"").getValue(2, 4))",Chrome 73.0.3683.86,Login into the system,2019-03-28 14:51:06,2019-03-28 14:51:17,11.336s,PASSED
delay(3),Chrome 73.0.3683.86,Delay,2019-03-28 14:51:17,2019-03-28 14:51:20,3.005s,PASSED
"click(findTestObject(""Perolehan/TukarPeranan/IconTukarPeranan""))",Chrome 73.0.3683.86,Click on icon Tukar Peranan,2019-03-28 14:51:20,2019-03-28 14:51:21,0.069s,PASSED
"click(findTestObject(""Perolehan/TukarPeranan/input_TukarPeranan"", [""value"":""255""]))",Chrome 73.0.3683.86,Click Radio Button Penyedia PTJ,2019-03-28 14:51:21,2019-03-28 14:51:21,0.079s,PASSED
"click(findTestObject(""Perolehan/TukarPeranan/button_Ya""))",Chrome 73.0.3683.86,Click Ya to confirm change of role,2019-03-28 14:51:21,2019-03-28 14:51:21,0.062s,PASSED
delay(20),Chrome 73.0.3683.86,,2019-03-28 14:51:21,2019-03-28 14:51:41,20.004s,PASSED
"verifyTextPresent(""Peranan : [Penyedia] Peringkat : [PTJ]"", false)",Chrome 73.0.3683.86,Verify Peranan is now Penyedia PTJ,2019-03-28 14:51:41,2019-03-28 14:51:42,1.812s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/a_ExpandMenuonLeft""))",Chrome 73.0.3683.86,Click on Menu Sisi to display Menu selections,2019-03-28 14:51:42,2019-03-28 14:51:43,0.386s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 73.0.3683.86,Delay,2019-03-28 14:51:43,2019-03-28 14:51:46,3.003s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/div_PanelTitlePerolehan""))",Chrome 73.0.3683.86,Select Perolehan Sub-menu,2019-03-28 14:51:46,2019-03-28 14:51:46,0.104s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 73.0.3683.86,Delay,2019-03-28 14:51:46,2019-03-28 14:51:49,3.002s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/div_Menu_ArahanBayaran""))",Chrome 73.0.3683.86,Click on Menu sisi and select Arahan Bayaran,2019-03-28 14:51:49,2019-03-28 14:51:49,0.135s,PASSED
assert true,Chrome 73.0.3683.86,,2019-03-28 14:51:49,2019-03-28 14:51:49,0.001s,PASSED
delay(3),Chrome 73.0.3683.86,Delay,2019-03-28 14:51:49,2019-03-28 14:51:52,3.003s,PASSED
"waitForElementClickable(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/button_REKOD_BARU""), 180)",Chrome 73.0.3683.86,wait for the element to become clickable,2019-03-28 14:51:52,2019-03-28 14:51:52,0.041s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/button_REKOD_BARU""))",Chrome 73.0.3683.86,Arahan Bayaran page loaded successfully,2019-03-28 14:51:52,2019-03-28 14:51:52,0.068s,PASSED
delay(3),Chrome 73.0.3683.86,Delay,2019-03-28 14:51:52,2019-03-28 14:51:55,3.003s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/Drop_Down_Jenis_Baucar_Bayaran""), STOP_ON_FAILURE)",Chrome 73.0.3683.86,Click Jenis Baucar Bayaran drop down,2019-03-28 14:51:55,2019-03-28 14:51:55,0.093s,PASSED
delay(3),Chrome 73.0.3683.86,Delay,2019-03-28 14:51:55,2019-03-28 14:51:58,3.002s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/Select_Kod_Jenis_Baucar_Bayaran""))",Chrome 73.0.3683.86,Select Kod Jenis Baucar Bayaran that is ARAHAN BAYARAN-PESANAN TEMPATAN,2019-03-28 14:51:58,2019-03-28 14:51:59,0.194s,PASSED
delay(3),Chrome 73.0.3683.86,Delay,2019-03-28 14:51:59,2019-03-28 14:52:02,3.003s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/Drop_Down_Nama_Pembekal""))",Chrome 73.0.3683.86,Click Nama Pembekal drop down,2019-03-28 14:52:02,2019-03-28 14:52:02,0.136s,PASSED
delay(3),Chrome 73.0.3683.86,Delay,2019-03-28 14:52:02,2019-03-28 14:52:05,3.004s,PASSED
"setText(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/input_kod_pembekal""), nama_pembekal)",Chrome 73.0.3683.86,,2019-03-28 14:52:05,2019-03-28 14:52:05,0.593s,PASSED
delay(10),Chrome 73.0.3683.86,,2019-03-28 14:52:05,2019-03-28 14:52:15,10.002s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/Select_Nama_Pembekal"", [""text"":nama_pembekal]))",Chrome 73.0.3683.86,Select Nama Pembekal AA DUA,2019-03-28 14:52:15,2019-03-28 14:52:15,0.111s,PASSED
delay(5),Chrome 73.0.3683.86,Delay,2019-03-28 14:52:15,2019-03-28 14:52:20,5.005s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/Drop_Down_Cara_Bayaran""))",Chrome 73.0.3683.86,click on drop down cara bayaran to select,2019-03-28 14:52:20,2019-03-28 14:52:20,0.086s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/Select_Cara_Bayaran - EFT""))",Chrome 73.0.3683.86,select cara bayaran as CEK,2019-03-28 14:52:20,2019-03-28 14:52:21,0.088s,PASSED
mydate = new java.util.Date(),Chrome 73.0.3683.86,"Get todays year, date and time",2019-03-28 14:52:21,2019-03-28 14:52:21,0.000s,PASSED
"setText(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/input_Perihal""), ""This is a test for Arahan Bayaran Julia "" + mydate)",Chrome 73.0.3683.86,Input Perihal,2019-03-28 14:52:21,2019-03-28 14:52:21,0.235s,PASSED
delay(3),Chrome 73.0.3683.86,Delay,2019-03-28 14:52:21,2019-03-28 14:52:24,3.003s,PASSED
"doubleClick(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/Maklumat_Terimaan_Barang_line_1""))",Chrome 73.0.3683.86,Click on 1st item from the list of records,2019-03-28 14:52:24,2019-03-28 14:52:24,0.309s,PASSED
delay(3),Chrome 73.0.3683.86,Delay,2019-03-28 14:52:24,2019-03-28 14:52:27,3.003s,PASSED
RN = Math.random() * 10000,Chrome 73.0.3683.86,int RN is created to generete random number,2019-03-28 14:52:27,2019-03-28 14:52:27,0.007s,PASSED
println(RN),Chrome 73.0.3683.86,Print the RN value,2019-03-28 14:52:27,2019-03-28 14:52:27,0.000s,PASSED
"setText(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/input_No_Invois""), ""INV0"" + RN)",Chrome 73.0.3683.86,Input No Invois with random number generated from RN,2019-03-28 14:52:27,2019-03-28 14:52:27,0.167s,PASSED
delay(3),Chrome 73.0.3683.86,delay,2019-03-28 14:52:27,2019-03-28 14:52:30,3.003s,PASSED
"setText(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/input_Amaun_Invois_RM""), TotalAmaunPT)",Chrome 73.0.3683.86,Input Amaun,2019-03-28 14:52:30,2019-03-28 14:52:30,0.128s,PASSED
delay(3),Chrome 73.0.3683.86,delay,2019-03-28 14:52:30,2019-03-28 14:52:33,3.003s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/Label_Tarikh_Invois""))",Chrome 73.0.3683.86,click on the label Tarikh Invois,2019-03-28 14:52:33,2019-03-28 14:52:33,0.079s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/a_Tarikh_Invois""), STOP_ON_FAILURE)",Chrome 73.0.3683.86,Click on Date Picker to display calendar to choose tarikh invois date,2019-03-28 14:52:33,2019-03-28 14:52:34,0.084s,PASSED
delay(2),Chrome 73.0.3683.86,Delay,2019-03-28 14:52:34,2019-03-28 14:52:36,2.003s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/a_Today_Tarikh_Invois""), STOP_ON_FAILURE)",Chrome 73.0.3683.86,Click Today,2019-03-28 14:52:36,2019-03-28 14:52:36,0.084s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/a_Tarikh Terima Oleh Kewangan""), STOP_ON_FAILURE)",Chrome 73.0.3683.86,Click on Date Picker to display calendar to choose tarikh terima oleh kewangan date,2019-03-28 14:52:36,2019-03-28 14:52:36,0.077s,PASSED
delay(2),Chrome 73.0.3683.86,Delay,2019-03-28 14:52:36,2019-03-28 14:52:38,2.003s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/a_Today_Tarikh_Terima_Oleh_Kewangan""), STOP_ON_FAILURE)",Chrome 73.0.3683.86,Click today,2019-03-28 14:52:38,2019-03-28 14:52:38,0.081s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/button_Save_Maklumat_Terima_Barang""))",Chrome 73.0.3683.86,Click on Save icon to save maklumat terima barang,2019-03-28 14:52:38,2019-03-28 14:52:38,0.061s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/button_Simpan""))",Chrome 73.0.3683.86,Click on Simpan button to save the record,2019-03-28 14:52:38,2019-03-28 14:52:38,0.176s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/button_Ya_Simpan""))",Chrome 73.0.3683.86,Click Ya to confirm save,2019-03-28 14:52:38,2019-03-28 14:52:38,0.105s,PASSED
delay(3),Chrome 73.0.3683.86,Delay,2019-03-28 14:52:38,2019-03-28 14:52:41,3.003s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/button_OK_Rekod_telah_simpan""))",Chrome 73.0.3683.86,Click OK button to close the prompt box,2019-03-28 14:52:41,2019-03-28 14:52:41,0.085s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/button_Senarai_Semak""))",Chrome 73.0.3683.86,Click on Senarai Semak button to select list of senarai semak,2019-03-28 14:52:41,2019-03-28 14:52:41,0.107s,PASSED
"check(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/Senarai_Semak_check_no_1""))",Chrome 73.0.3683.86,Check on the first item from senarai semak ,2019-03-28 14:52:41,2019-03-28 14:52:42,0.189s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/button_senarai_Semak_simpan""))",Chrome 73.0.3683.86,Click on Simpan to save the Senarai Semak,2019-03-28 14:52:42,2019-03-28 14:52:42,0.066s,PASSED
delay(3),Chrome 73.0.3683.86,Delay,2019-03-28 14:52:42,2019-03-28 14:52:45,3.003s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/button_OK_Rekod_telah_simpan""))",Chrome 73.0.3683.86,Click OK to close the prompt box,2019-03-28 14:52:45,2019-03-28 14:52:45,0.072s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/Senarai_Semak_X_close""))",Chrome 73.0.3683.86,Click X to close the popup window,2019-03-28 14:52:45,2019-03-28 14:52:45,0.062s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/button_Sah_Simpan""))",Chrome 73.0.3683.86,Click Sah Simpan button to Sah Simpan the record,2019-03-28 14:52:45,2019-03-28 14:52:45,0.073s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/button_Ya_Simpan""))",Chrome 73.0.3683.86,Click Ya to confirm ,2019-03-28 14:52:45,2019-03-28 14:52:45,0.087s,PASSED
delay(3),Chrome 73.0.3683.86,Delay,2019-03-28 14:52:45,2019-03-28 14:52:48,3.002s,PASSED
takeScreenshot(),Chrome 73.0.3683.86,Take screenshot of current display,2019-03-28 14:52:48,2019-03-28 14:52:48,0.299s,PASSED
"attribute = getText(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/Get_Arahan_Bayaran_RekodID""))",Chrome 73.0.3683.86,Get text of Rekod ID from the alert popup,2019-03-28 14:52:48,2019-03-28 14:52:48,0.051s,PASSED
println(attribute),Chrome 73.0.3683.86,print the value,2019-03-28 14:52:48,2019-03-28 14:52:48,0.000s,PASSED
ArahanBayaranID = attribute[(46..60)],Chrome 73.0.3683.86,create new variable to only take rekod id from the get text value,2019-03-28 14:52:48,2019-03-28 14:52:48,0.001s,PASSED
println(ArahanBayaranID),Chrome 73.0.3683.86,print the value,2019-03-28 14:52:48,2019-03-28 14:52:48,0.000s,PASSED
ArahanBayaranRekodID = ArahanBayaranID,Chrome 73.0.3683.86,set global variable value of RekodID with variable RekodNo,2019-03-28 14:52:48,2019-03-28 14:52:48,0.000s,PASSED
delay(3),Chrome 73.0.3683.86,delay,2019-03-28 14:52:48,2019-03-28 14:52:51,3.003s,PASSED
"waitForElementClickable(findTestObject(""Perolehan/002 Penyedia_RekodBaru/001 Rekod Baru Pesanan Tempatan/button_OK_Rekod_Berjaya_disimpan""), 300)",Chrome 73.0.3683.86,wait for the element to be clickable,2019-03-28 14:52:51,2019-03-28 14:52:51,0.039s,PASSED
"element = findWebElement(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/button_OK_Rekod_telah_simpan""), 300)",Chrome 73.0.3683.86,declare object to find as an element,2019-03-28 14:52:51,2019-03-28 14:52:51,0.019s,PASSED
"executeJavaScript(""arguments[0].click"", Arrays.asList(element))",Chrome 73.0.3683.86,click on the element using javascript,2019-03-28 14:52:51,2019-03-28 14:52:51,0.009s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/button_OK_Rekod_telah_simpan""))",Chrome 73.0.3683.86,Click OK to close the prompt box,2019-03-28 14:52:51,2019-03-28 14:52:51,0.107s,PASSED
closeBrowser(),Chrome 73.0.3683.86,Close the browser,2019-03-28 14:52:51,2019-03-28 14:52:52,0.672s,PASSED
,,,,,,
Test Cases/Perolehan/006 Arahan Bayaran/005 Penyemak Pesanan Tempatan,Chrome 73.0.3683.86,Penyemak will check the record and click Semak button to verify,2019-03-28 14:52:52,2019-03-28 14:54:04,1m - 11.739s,PASSED
reusablefunctions.reusablefunctions.openbrowser(),Chrome 73.0.3683.86,open browser and enter ispek URL,2019-03-28 14:52:52,2019-03-28 14:52:55,2.877s,PASSED
"reusablefunctions.reusablefunctions.Login(findTestData(""ispekstestdata"").getValue(1, 5), findTestData(""ispekstestdata"").getValue(2, 5))",Chrome 73.0.3683.86,login into the system as PROC test,2019-03-28 14:52:55,2019-03-28 14:53:07,11.388s,PASSED
"click(findTestObject(""Perolehan/TukarPeranan/IconTukarPeranan""))",Chrome 73.0.3683.86,Click on icon Tukar Peranan,2019-03-28 14:53:07,2019-03-28 14:53:07,0.064s,PASSED
"click(findTestObject(""Perolehan/TukarPeranan/input_TukarPeranan"", [""value"":""372""]))",Chrome 73.0.3683.86,Click Radio Button Penyedia PTJ,2019-03-28 14:53:07,2019-03-28 14:53:07,0.080s,PASSED
"click(findTestObject(""Perolehan/TukarPeranan/button_Ya""))",Chrome 73.0.3683.86,Click Ya to confirm change of role,2019-03-28 14:53:07,2019-03-28 14:53:07,0.063s,PASSED
delay(20),Chrome 73.0.3683.86,,2019-03-28 14:53:07,2019-03-28 14:53:27,20.002s,PASSED
"verifyTextPresent(""Peranan : [Penyemak] Peringkat : [PTJ]"", false)",Chrome 73.0.3683.86,Verify Peranan is now Penyemak PTJ,2019-03-28 14:53:27,2019-03-28 14:53:27,0.632s,PASSED
delay(5),Chrome 73.0.3683.86,,2019-03-28 14:53:27,2019-03-28 14:53:32,5.003s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/a_ExpandMenuonLeft""))",Chrome 73.0.3683.86,Click on Menu Sisi to display Menu selections,2019-03-28 14:53:32,2019-03-28 14:53:33,0.329s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 73.0.3683.86,Delay,2019-03-28 14:53:33,2019-03-28 14:53:36,3.004s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/div_PanelTitlePerolehan""))",Chrome 73.0.3683.86,Select Perolehan Sub-menu,2019-03-28 14:53:36,2019-03-28 14:53:36,0.072s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 73.0.3683.86,Delay,2019-03-28 14:53:36,2019-03-28 14:53:39,3.003s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/div_Menu_ArahanBayaran""))",Chrome 73.0.3683.86,Click on Menu sisi and select Arahan Bayaran,2019-03-28 14:53:39,2019-03-28 14:53:39,0.094s,PASSED
assert true,Chrome 73.0.3683.86,,2019-03-28 14:53:39,2019-03-28 14:53:39,0.000s,PASSED
delay(3),Chrome 73.0.3683.86,Delay,2019-03-28 14:53:39,2019-03-28 14:53:42,3.003s,PASSED
"setText(findTestObject(""Perolehan/006 Arahan Bayaran/004 Penyemak/input_TABLE_NAME_noRekod""), ArahanBayaranRekodID)",Chrome 73.0.3683.86,,2019-03-28 14:53:42,2019-03-28 14:53:42,0.246s,PASSED
delay(3),Chrome 73.0.3683.86,,2019-03-28 14:53:42,2019-03-28 14:53:45,3.002s,PASSED
"doubleClick(findTestObject(""Perolehan/006 Arahan Bayaran/004 Penyemak/select_noRekod"", [""text"":ArahanBayaranRekodID]))",Chrome 73.0.3683.86,,2019-03-28 14:53:45,2019-03-28 14:53:45,0.070s,PASSED
delay(3),Chrome 73.0.3683.86,,2019-03-28 14:53:45,2019-03-28 14:53:48,3.003s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/004 Penyemak/button_Senarai_Semak""))",Chrome 73.0.3683.86,,2019-03-28 14:53:48,2019-03-28 14:53:48,0.194s,PASSED
delay(3),Chrome 73.0.3683.86,,2019-03-28 14:53:48,2019-03-28 14:53:51,3.003s,PASSED
"verifyElementChecked(findTestObject(""Perolehan/006 Arahan Bayaran/004 Penyemak/Check_Senarai_Semak_Item""), 3)",Chrome 73.0.3683.86,,2019-03-28 14:53:51,2019-03-28 14:53:51,0.051s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/004 Penyemak/button_X_Close_Senarai_Semak""))",Chrome 73.0.3683.86,,2019-03-28 14:53:51,2019-03-28 14:53:52,0.066s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/004 Penyemak/button_Semak""))",Chrome 73.0.3683.86,,2019-03-28 14:53:52,2019-03-28 14:53:52,0.076s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/004 Penyemak/button_Ya_Semak""))",Chrome 73.0.3683.86,,2019-03-28 14:53:52,2019-03-28 14:53:52,0.077s,PASSED
delay(3),Chrome 73.0.3683.86,,2019-03-28 14:53:52,2019-03-28 14:53:55,3.002s,PASSED
takeScreenshot(),Chrome 73.0.3683.86,,2019-03-28 14:53:55,2019-03-28 14:53:55,0.304s,PASSED
delay(8),Chrome 73.0.3683.86,,2019-03-28 14:53:55,2019-03-28 14:54:03,8.001s,PASSED
"waitForElementClickable(findTestObject(""Perolehan/006 Arahan Bayaran/004 Penyemak/button_OK_berjaya_disemak""), 240)",Chrome 73.0.3683.86,,2019-03-28 14:54:03,2019-03-28 14:54:03,0.034s,PASSED
"waitForElementClickable(findTestObject(""Perolehan/002 Penyedia_RekodBaru/001 Rekod Baru Pesanan Tempatan/button_OK_Rekod_Berjaya_disimpan""), 300)",Chrome 73.0.3683.86,wait for the element to be clickable,2019-03-28 14:54:03,2019-03-28 14:54:03,0.037s,PASSED
"element = findWebElement(findTestObject(""Perolehan/006 Arahan Bayaran/004 Penyemak/button_OK_berjaya_disemak""), 300)",Chrome 73.0.3683.86,declare object to find as an element,2019-03-28 14:54:03,2019-03-28 14:54:03,0.016s,PASSED
"executeJavaScript(""arguments[0].click"", Arrays.asList(element))",Chrome 73.0.3683.86,click on the element using javascript,2019-03-28 14:54:03,2019-03-28 14:54:03,0.016s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/004 Penyemak/button_OK_berjaya_disemak""))",Chrome 73.0.3683.86,,2019-03-28 14:54:03,2019-03-28 14:54:03,0.075s,PASSED
closeBrowser(STOP_ON_FAILURE),Chrome 73.0.3683.86,,2019-03-28 14:54:03,2019-03-28 14:54:04,0.643s,PASSED
,,,,,,
Test Cases/Perolehan/007 Proses Baucar Bayaran/001 Pelulus Proses Baucar Bayaran - EFT,Chrome 73.0.3683.86,Pelulus will process the baucar bayaran,2019-03-28 14:54:04,2019-03-28 15:01:26,7m - 22.328s,PASSED
reusablefunctions.reusablefunctions.openbrowser(),Chrome 73.0.3683.86,open browser and enter ispek url,2019-03-28 14:54:04,2019-03-28 14:54:07,2.916s,PASSED
"reusablefunctions.reusablefunctions.Login(findTestData(""ispekstestdata"").getValue(1, 7), findTestData(""ispekstestdata"").getValue(2, 7))",Chrome 73.0.3683.86,login into the application,2019-03-28 14:54:07,2019-03-28 14:54:18,11.334s,PASSED
"click(findTestObject(""Perolehan/TukarPeranan/IconTukarPeranan""))",Chrome 73.0.3683.86,Click on icon Tukar Peranan,2019-03-28 14:54:18,2019-03-28 14:54:18,0.070s,PASSED
"click(findTestObject(""Perolehan/TukarPeranan/input_TukarPeranan"", [""value"":""220""]))",Chrome 73.0.3683.86,Click Radio Button Penyedia PTJ,2019-03-28 14:54:18,2019-03-28 14:54:19,0.090s,PASSED
"click(findTestObject(""Perolehan/TukarPeranan/button_Ya""))",Chrome 73.0.3683.86,Click Ya to confirm change of role,2019-03-28 14:54:19,2019-03-28 14:54:19,0.058s,PASSED
delay(20),Chrome 73.0.3683.86,,2019-03-28 14:54:19,2019-03-28 14:54:39,20.003s,PASSED
"verifyTextPresent(""Peranan : [Pelulus] Peringkat : [PTJ]"", false)",Chrome 73.0.3683.86,Verify Peranan is now Pelulus PTJ,2019-03-28 14:54:39,2019-03-28 14:54:40,1.670s,PASSED
"click(findTestObject(""Perolehan/007 Proses Baucar Bayaran/001 Pelulus PT/Menu_Sisi""))",Chrome 73.0.3683.86,click on menu sisi to expand the menu on the left,2019-03-28 14:54:40,2019-03-28 14:54:41,0.380s,PASSED
delay(3),Chrome 73.0.3683.86,delay,2019-03-28 14:54:41,2019-03-28 14:54:44,3.003s,PASSED
"click(findTestObject(""Perolehan/007 Proses Baucar Bayaran/001 Pelulus PT/Menu_Akaun Belum Bayar""))",Chrome 73.0.3683.86,select menu akaun belum bayar,2019-03-28 14:54:44,2019-03-28 14:54:44,0.068s,PASSED
delay(3),Chrome 73.0.3683.86,delay,2019-03-28 14:54:44,2019-03-28 14:54:47,3.003s,PASSED
"click(findTestObject(""Perolehan/007 Proses Baucar Bayaran/001 Pelulus PT/Menu_Expand_Baucar_Bayaran""))",Chrome 73.0.3683.86,expand baucar bayaran menu selection,2019-03-28 14:54:47,2019-03-28 14:54:47,0.084s,PASSED
delay(3),Chrome 73.0.3683.86,delay,2019-03-28 14:54:47,2019-03-28 14:54:50,3.003s,PASSED
"click(findTestObject(""Perolehan/007 Proses Baucar Bayaran/001 Pelulus PT/Menu_Integrasi_Dalaman""))",Chrome 73.0.3683.86,select sub-menu integrasi dalaman,2019-03-28 14:54:50,2019-03-28 14:54:50,0.119s,PASSED
